# Filename        exposure       shutter_speed  f/stop  gain(db)
room0000.jpg      1              1              2       0       
room0001.jpg      0.5            2              2       0       
room0002.jpg      0.25           4              2       0       
room0003.jpg      0.125          8              2       0       
room0004.jpg      0.03125        32             2       0       
room0005.jpg      0.015625       64             2       0       
room0006.jpg      0.008          125            2       0
room0007.jpg      0.004          250            2       0
room0008.jpg      0.002          500            2       0
room0009.jpg      0.001          1000           2       0
room0010.jpg      0.0005         2000           2       0
room0011.jpg      0.00025        4000           2       0
